gvkey,fyear,TFP
1000,1970,-.1036519
1000,1971,-.4513699
1000,1972,-.2793056
1000,1973,-.2472484
1000,1974,-.2985307
1000,1975,-.165994
1000,1976,-.1479346
1000,1977,-.3204189
1001,1984,-.2439487
1002,1970,-.2339001
1002,1971,-.3399021
1002,1972,-.3362087
1003,1985,.2182506
1003,1986,.159933
1003,1987,-.4312649
1004,1971,-.1685956
1004,1972,-.0574109
1004,1973,-.0952093
1004,1974,-.2850244
1004,1975,-.4484313
1004,1976,-.3982949
1004,1977,-.3840766
1004,1978,-.2390274
1004,1979,-.3249241
1004,1980,-.3193683
1004,1981,-.3203191
1004,1982,-.2148501
1004,1983,-.1972042
1004,1984,-.2090329
1004,1985,-.0194534
1004,1986,-.0128978
1004,1987,-.0941078
1004,1988,.0931831
1004,1989,-.1769194
1004,1990,-.0324415
1004,1991,-.1805798
1004,1992,-.5191989
1004,1993,-.4878333
1004,1994,-.3974365
1004,1995,-.4744138
1004,1996,-.3325218
1004,1997,-.2273005
1004,1998,-.1626603
1004,1999,-.1881814
1004,2000,-.3369032
1004,2001,-.4508812
1004,2002,-.4000415
1004,2003,-.4319899
1004,2004,-.4436467
1004,2005,-.4500612
1004,2006,-.4388077
1004,2007,-.4177291
1004,2008,-.5504375
1004,2009,-.5106226
1004,2010,-.3833947
1004,2011,-.4037277
1004,2012,-.4853126
1004,2013,-.51278
1004,2014,-.8398045
1004,2015,-.5830798
1004,2016,-.5129455
1005,1976,-.4085285
1005,1977,-.6168
1005,1978,-.6607798
1005,1979,-.6376327
1005,1980,-.5478762
1005,1981,-.454535
1006,1977,-.2958079
1006,1978,-.5503008
1006,1979,-1.316381
1006,1980,-1.487025
1006,1981,-.6567431
1006,1982,-.6230074
1009,1984,-.1337952
1009,1985,.050751
1009,1986,-.078691
1009,1987,-.513716
1009,1988,-.4196505
1009,1989,-.3836478
1009,1990,-.474811
1009,1991,-.4445604
1009,1992,-.4763403
1009,1993,-.3188159
1009,1994,-.3825296
1010,1964,-.3577098
1010,1966,-.2392801
1010,1967,-.127479
1010,1971,-.3625866
1010,1972,-.3151755
1010,1973,-.2941343
1010,1974,-.4084485
1010,1975,-.4202318
1010,1976,-.4867043
1010,1977,-.373994
1010,1978,-.1066457
1010,1980,-.2385762
1010,1981,-.3012621
1010,1982,-.1712223
1010,1983,-.25385
1010,1984,-.1500562
1011,1994,-1.120581
1012,1977,-.5361462
1012,1978,-.6187794
1012,1979,-.8252342
1012,1980,-.9438373
1012,1981,-.5751199
1012,1982,-.417135
1012,1983,-.4119896
1012,1984,-.6510357
1012,1985,-.4099183
1012,1986,-.4965515
1012,1987,-.5469493
1012,1988,-.6134857
1013,1977,-.3635134
1013,1978,-.3823146
1013,1979,-.1738342
1013,1980,-.2033726
1013,1981,-.333627
1013,1982,-.2407346
1013,1983,-.2134236
1013,1984,-.1967707
1013,1985,.0107216
1013,1986,.1880175
1013,1987,-.0015701
1013,1988,-.0391248
1013,1989,-.087591
1013,1990,.0678064
1013,1991,-.0116898
1013,1992,-.0461555
1013,1993,-.0038711
1013,1994,-.0351546
1013,1995,.0280995
1013,1996,.052079
1013,1997,.1747706
1013,1998,.0703072
1013,1999,.0355728
1013,2000,.0762207
1013,2001,-.7008005
1013,2002,-2.122425
1013,2003,-.63067
1013,2004,-.5709327
1013,2005,-.3737693
1013,2006,-.3479406
1013,2007,-.3778183
1013,2008,-.3475069
1013,2009,-.4329606
1013,2010,-.4256219
1015,1985,-.3489816
1016,1977,-.3137533
1016,1978,-.2366748
1016,1979,-.2583433
1016,1980,-.4218874
1016,1981,-.5365216
1016,1982,-.7710157
1016,1983,-.6067219
1016,1984,-.4419278
1016,1985,-.6689488
1016,1986,-.4587271
1016,1987,-.7049153
1017,1969,-.4711548
1017,1970,-.4051787
1017,1971,-.244414
1017,1972,-.670805
1017,1973,-.3941237
1017,1974,-.5373399
1017,1975,-.5007228
1017,1976,-.4856212
1017,1977,-.4773501
1017,1978,-.4372656
1017,1979,-.5976059
1017,1980,-.524555
1017,1981,-.7290951
1017,1982,-.6404399
1017,1983,-.4394647
1017,1984,-.4849513
1017,1985,-.4340917
1017,1986,-.5354159
1017,1987,-.4920176
1017,1988,-.6704234
1017,1989,-.6807192
1017,1990,-.3505128
1017,1991,-.5263721
1017,1992,-.5692939
1017,1993,-.5501249
1017,1994,-.4944183
1018,1979,-1.06309
1019,1973,-.672199
1019,1974,-.5807509
1019,1975,-.5345551
1019,1976,-.6287443
1019,1977,-.5604163
1019,1978,-.5576485
1019,1979,-.7194016
1019,1980,-.5640832
1019,1981,-.5525032
1019,1982,-.4759612
1019,1983,-.3468811
1019,1984,-.5100138
1019,1985,-.5769336
1019,1986,-.6406989
1019,1987,-.6134311
1019,1988,-.5278402
1019,1989,-.5909961
1019,1990,-.5225158
1019,1991,-.5300826
1021,1985,-.0026083
1021,1986,-.0407269
1021,1987,.0028373
1021,1988,-.0713669
1021,1989,-.3775518
1021,1990,-.337123
1021,1991,-.7668246
1021,1992,-.5872144
1021,1993,-.5362409
1021,1994,-.8332021
1021,1995,-.5212427
1021,1996,-.5914386
1021,1997,-.4802212
1021,1998,-.6944736
1021,1999,-1.083473
1021,2000,-.8713818
1021,2001,-.8784521
1021,2008,-1.434819
1022,1977,-.5621089
1022,1978,-.3269718
1022,1979,-.1559047
1022,1980,-.3235884
1022,1981,-.5312803
1022,1982,-.6450575
1023,1984,-.0505678
1023,1985,.0310332
1023,1986,-.0081475
1023,1987,-.1496001
1025,1978,.3901376
