"Table 1.1.9. Implicit Price Deflators for Gross Domestic Product"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2018 - Next Release Date July 27, 2018"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",12.887,13.605,13.581,13.745,14.716,14.972,15.157,15.298,15.559,16.091,16.625,17.001,17.237,17.476,17.669,17.886,18.088,18.366,18.702,19.227,19.786,20.627,21.642,22.784,23.941,24.978,26.337,28.703,31.361,33.083,35.135,37.602,40.706,44.377,48.520,51.530,53.565,55.466,57.240,58.395,59.885,61.982,64.392,66.773,68.996,70.569,72.248,73.785,75.324,76.699,78.012,78.859,80.065,81.887,83.754,85.039,86.735,89.120,91.988,94.814,97.337,99.246,100.000,101.221,103.311,105.214,106.913,108.832,110.012,111.416,113.421
"2","Personal consumption expenditures",13.316,14.070,13.960,14.127,15.089,15.398,15.603,15.736,15.799,16.116,16.605,16.996,17.251,17.535,17.719,17.928,18.137,18.403,18.669,19.143,19.625,20.389,21.313,22.311,23.259,24.055,25.352,27.992,30.330,31.993,34.076,36.463,39.696,43.959,47.831,50.480,52.653,54.645,56.582,57.806,59.650,61.974,64.641,67.440,69.652,71.494,73.279,74.803,76.356,77.981,79.327,79.936,81.110,83.131,84.736,85.873,87.572,89.703,92.261,94.729,97.102,100.065,100.000,101.653,104.149,106.121,107.532,109.157,109.481,110.789,112.655
"3","    Goods",23.349,24.728,24.150,24.225,26.181,26.432,26.311,26.211,26.057,26.500,27.329,27.951,28.094,28.314,28.421,28.567,28.804,29.118,29.424,30.072,30.602,31.669,32.896,34.151,35.177,36.078,38.230,43.001,46.475,48.294,50.890,54.014,59.122,65.742,70.627,72.551,73.862,75.259,76.466,76.109,78.557,80.627,83.729,87.158,89.289,90.366,91.151,92.078,92.939,93.960,93.851,92.440,92.925,94.769,94.697,93.806,93.703,95.030,96.951,98.277,99.403,102.362,100.000,101.637,105.413,106.701,106.116,105.780,102.695,101.209,101.559
"4","        Durable goods",45.038,47.342,47.665,47.907,51.119,51.434,51.032,49.910,49.721,50.920,52.796,53.752,54.604,54.400,54.538,54.770,54.981,55.229,54.777,54.656,55.534,57.313,58.929,60.200,62.280,62.965,63.898,68.093,74.187,78.244,81.843,86.425,92.152,100.149,106.848,111.014,113.270,114.946,116.161,117.440,120.818,122.811,125.049,126.292,128.143,129.028,130.297,132.848,133.817,132.467,129.574,125.912,122.520,120.339,117.982,115.034,110.885,108.752,107.668,105.915,103.764,101.758,100.000,98.621,97.724,96.413,94.590,92.395,90.430,88.460,86.611
"5","        Nondurable goods",16.609,17.628,17.054,17.095,18.561,18.760,18.694,18.739,18.617,18.884,19.438,19.911,19.940,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.110,24.109,25.194,25.905,26.736,28.891,33.261,35.831,36.998,39.118,41.618,46.103,51.760,55.757,57.022,58.001,59.207,60.315,59.545,61.570,63.527,66.679,70.501,72.559,73.614,74.212,74.607,75.387,77.094,77.899,77.326,79.248,82.651,83.529,83.538,85.264,88.214,91.592,94.438,97.214,102.653,100.000,103.084,109.188,111.840,111.946,112.689,108.961,107.800,109.571
"6","    Services",8.568,9.019,9.173,9.409,9.872,10.232,10.630,10.898,11.086,11.352,11.683,11.970,12.293,12.619,12.847,13.093,13.293,13.542,13.795,14.195,14.668,15.302,16.099,16.992,17.920,18.681,19.588,21.249,23.077,24.676,26.537,28.600,30.989,34.195,37.601,40.540,43.065,45.307,47.565,49.503,51.073,53.501,55.966,58.473,60.698,62.831,65.006,66.763,68.594,70.462,72.428,73.922,75.404,77.502,79.880,81.969,84.533,87.058,89.933,92.976,95.981,98.947,100.000,101.661,103.524,105.840,108.276,110.929,113.065,115.878,118.567
"7","Gross private domestic investment",17.149,18.449,18.540,19.245,21.312,21.179,21.154,21.164,21.842,23.067,23.601,23.599,23.902,24.040,23.992,24.018,23.954,24.110,24.481,24.984,25.623,26.587,27.855,29.058,30.492,31.765,33.500,36.897,41.259,43.532,46.746,50.537,55.080,60.158,65.840,69.694,69.942,70.682,71.552,73.117,74.700,76.559,78.507,80.079,81.494,81.454,82.408,83.639,84.954,84.904,84.919,84.308,84.441,85.613,86.430,86.780,87.839,90.656,94.556,98.191,99.985,101.203,100.000,99.076,100.424,101.864,103.430,105.601,106.479,106.961,108.824
"8","    Fixed investment",15.975,17.311,17.654,18.049,19.583,20.049,20.227,20.377,20.732,21.918,22.669,22.765,22.994,23.138,23.085,23.112,23.055,23.217,23.595,24.090,24.740,25.733,27.013,28.193,29.603,30.866,32.584,35.806,40.153,42.469,45.728,49.553,54.006,59.044,64.466,68.455,68.717,69.386,70.397,72.120,73.587,75.639,77.587,79.280,80.662,80.678,81.647,82.886,84.242,84.298,84.448,83.995,84.186,85.450,86.268,86.613,87.734,90.546,94.507,98.167,99.988,100.996,100.000,99.179,100.524,102.062,103.670,106.019,107.148,107.801,109.645
"9","        Nonresidential",19.486,21.113,21.606,22.058,24.116,24.641,24.882,25.111,25.501,27.399,28.739,28.947,29.343,29.520,29.398,29.427,29.433,29.627,29.955,30.416,31.160,32.270,33.631,35.241,36.893,38.156,39.695,43.553,49.290,52.005,55.451,59.159,63.917,69.558,76.173,81.036,80.902,81.160,81.997,83.435,84.387,86.511,88.517,90.413,92.116,91.773,91.968,92.666,93.558,92.968,92.453,91.011,90.167,90.660,90.393,90.047,89.884,91.141,93.829,96.561,98.574,100.336,100.000,99.069,100.545,102.215,103.023,104.399,105.069,104.790,105.849
"10","            Structures",6.436,7.160,7.135,7.224,8.056,8.270,8.432,8.330,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.740,10.023,10.384,10.707,11.245,11.985,12.773,13.756,14.746,15.888,18.085,20.244,21.236,23.078,25.307,28.247,30.873,35.119,37.890,36.925,37.247,38.132,38.864,39.488,41.163,42.775,44.157,44.956,44.967,46.286,47.920,49.996,51.266,53.223,55.659,57.378,59.635,62.762,65.404,67.774,72.879,82.056,92.048,97.620,102.259,100.000,98.843,101.851,105.884,108.116,113.398,115.484,115.637,118.809
