"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2018 - Next Release Date July 27, 2018"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed investment",16.080,17.426,17.759,18.155,19.700,20.169,20.346,20.498,20.848,22.041,22.795,22.889,23.117,23.261,23.208,23.235,23.178,23.339,23.720,24.218,24.872,25.870,27.156,28.342,29.759,31.029,32.756,35.996,40.366,42.694,45.970,49.815,54.292,59.357,64.808,68.456,68.717,69.386,70.397,72.120,73.587,75.639,77.587,79.280,80.662,80.678,81.647,82.886,84.242,84.298,84.448,83.995,84.186,85.450,86.268,86.614,87.734,90.546,94.507,98.167,99.988,100.996,100.000,99.180,100.524,102.062,103.670,106.019,107.148,107.801,109.642
"2","Nonresidential",19.653,21.295,21.769,22.222,24.298,24.828,25.066,25.299,25.677,27.590,28.937,29.142,29.536,29.712,29.592,29.619,29.626,29.819,30.151,30.615,31.363,32.481,33.850,35.470,37.133,38.403,39.952,43.837,49.611,52.344,55.812,59.544,64.333,70.012,76.669,81.037,80.903,81.159,81.997,83.436,84.388,86.511,88.518,90.413,92.116,91.773,91.968,92.667,93.558,92.969,92.453,91.011,90.167,90.661,90.393,90.047,89.885,91.141,93.830,96.561,98.574,100.337,100.000,99.070,100.545,102.216,103.023,104.399,105.069,104.790,105.844
"3","    Structures",6.436,7.160,7.135,7.224,8.056,8.270,8.432,8.330,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.740,10.023,10.384,10.707,11.245,11.985,12.773,13.756,14.746,15.888,18.085,20.244,21.236,23.078,25.307,28.247,30.873,35.118,37.889,36.925,37.247,38.133,38.863,39.488,41.163,42.775,44.157,44.957,44.967,46.286,47.920,49.996,51.266,53.223,55.659,57.378,59.635,62.762,65.404,67.774,72.879,82.056,92.048,97.620,102.259,100.000,98.844,101.851,105.884,108.116,113.398,115.484,115.637,118.814
"4","        Commercial and health care",7.374,8.184,7.952,7.922,8.983,9.259,9.264,8.998,9.153,9.941,10.346,10.050,9.961,9.933,9.887,9.994,10.170,10.372,10.696,11.073,11.416,11.981,12.883,13.669,14.856,16.035,17.323,19.247,21.133,21.895,23.379,25.607,28.412,31.589,34.395,36.486,37.627,39.082,40.336,41.742,43.292,44.897,46.498,47.974,48.657,48.984,50.646,52.602,54.710,55.951,57.721,60.415,63.040,65.631,67.974,69.805,71.779,76.293,83.468,90.561,95.728,99.438,100.000,96.638,98.402,100.899,103.159,105.981,107.865,109.372,111.948
"5","        Manufacturing",7.545,8.401,8.173,8.125,9.214,9.452,9.497,9.246,9.398,10.209,10.616,10.316,10.227,10.215,10.182,10.305,10.497,10.714,11.067,11.482,11.840,12.429,13.364,14.205,15.413,16.675,18.015,20.012,21.973,22.749,24.291,26.598,29.523,32.874,35.850,38.116,39.296,40.814,42.133,43.598,45.206,46.875,48.534,50.066,50.788,51.093,52.808,54.814,57.007,58.293,60.166,62.632,65.150,67.587,69.946,72.055,73.294,77.127,83.060,88.450,93.274,98.053,100.000,97.467,99.603,102.077,104.525,107.842,109.869,110.551,113.398
"6","        Power and communication",7.802,8.627,9.015,9.384,10.194,10.413,10.922,11.110,11.383,12.371,13.006,13.147,13.435,13.511,13.480,13.335,13.380,13.421,13.742,14.079,14.507,15.238,15.956,17.183,18.336,19.317,20.777,24.208,27.296,29.008,31.273,33.207,36.751,40.354,43.178,45.190,45.759,46.029,46.610,46.567,47.028,49.116,51.929,53.488,53.963,54.641,56.098,58.113,60.504,62.092,63.437,64.137,64.368,66.445,68.364,69.921,71.589,76.778,82.688,90.515,94.989,101.196,100.000,104.299,110.441,114.164,115.444,117.047,118.760,119.166,123.235
"7","        Mining exploration, shafts, and wells1",3.194,3.553,3.461,3.441,3.899,3.998,4.023,3.913,3.978,4.325,4.496,4.376,4.536,4.483,4.374,4.459,4.303,4.309,4.398,4.676,4.845,5.074,5.315,5.632,5.814,6.251,6.642,8.285,10.118,10.969,12.922,15.243,17.667,18.086,24.126,27.513,22.273,20.433,20.470,19.620,16.709,18.342,19.231,20.006,21.178,19.587,19.695,20.023,21.652,22.652,25.696,29.262,28.374,29.499,36.451,43.581,48.496,56.184,75.333,96.499,104.438,111.455,100.000,98.198,101.210,108.301,110.563,121.579,123.449,116.298,117.946
"8","        Other structures2",7.573,8.473,8.362,8.444,9.399,9.685,9.872,9.765,9.985,10.805,11.247,11.060,10.994,10.989,10.947,11.077,11.260,11.470,11.824,12.250,12.619,13.278,14.246,15.163,16.411,17.643,19.008,21.591,23.968,24.849,26.706,28.719,31.733,35.333,38.698,41.257,42.646,43.963,45.194,46.442,48.089,49.762,51.400,53.064,53.980,54.445,56.111,58.059,60.332,61.855,63.716,65.779,68.289,71.122,74.152,75.725,77.764,82.011,87.921,94.244,99.302,101.752,100.000,97.246,98.731,100.789,104.087,108.874,112.128,115.950,120.176
"9","    Equipment",33.076,35.462,36.873,37.802,41.013,41.840,41.930,42.934,43.353,46.578,49.200,50.159,51.078,51.509,51.229,50.987,50.722,50.694,50.760,50.924,52.089,53.519,55.032,57.092,58.898,59.671,60.680,65.231,75.167,79.781,84.683,89.387,95.169,103.547,111.123,115.712,116.045,115.097,115.097,117.409,118.174,119.808,122.098,124.594,126.705,126.513,125.034,124.812,123.445,120.646,117.318,112.054,107.728,105.386,102.280,100.246,98.520,98.360,98.639,98.317,98.602,98.691,100.000,98.009,98.858,99.861,100.047,99.906,99.761,99.634,100.024
"10","        Information processing equipment",422.183,431.403,434.478,443.842,470.374,462.026,460.428,464.949,470.331,483.686,507.117,512.986,517.586,515.101,508.071,496.315,478.589,470.500,458.156,434.458,428.352,424.848,428.338,431.947,422.031,412.437,414.710,421.115,448.471,452.940,445.546,427.917,422.441,424.164,433.349,438.066,425.212,404.996,388.576,377.479,365.019,359.881,355.046,347.208,339.321,325.681,309.046,295.730,277.080,249.190,224.912,195.955,173.801,162.890,149.230,139.348,129.742,123.737,118.255,112.515,108.351,103.644,100.000,98.322,97.127,95.236,93.548,90.874,88.046,86.778,85.785
"11","            Computers and peripheral equipment","---","---","---","---","---","---","---","---","---","---","---","---",755989.279,593570.088,438509.198,311056.361,204300.007,170899.943,141215.660,98982.178,80422.922,68628.773,62138.190,55815.091,42498.130,34278.946,32499.912,26534.998,24546.148,20500.724,17840.338,12067.393,9999.091,7804.036,6858.437,6173.201,5146.729,4163.808,3539.787,3049.288,2597.304,2412.554,2252.823,2044.054,1836.292,1567.117,1331.668,1171.121,980.096,747.403,576.170,428.065,333.314,291.687,241.498,209.756,187.539,174.007,153.434,134.346,120.591,108.738,100.000,96.005,92.053,90.106,89.378,89.232,88.485,87.100,86.726
"12","            Other3",50.368,51.468,51.835,52.952,56.117,55.121,54.931,55.470,56.112,57.706,60.501,61.201,61.790,61.868,61.904,61.698,62.052,62.474,62.535,63.264,65.183,66.888,69.127,71.646,74.204,76.047,77.545,82.475,90.210,94.399,95.160,99.059,101.937,109.439,117.049,122.578,125.992,128.729,130.644,133.941,137.197,139.053,140.827,142.523,144.309,145.796,145.464,144.679,143.438,141.226,139.455,133.330,127.691,124.443,120.126,116.314,110.490,106.769,105.866,104.497,103.681,101.596,100.000,99.312,99.274,97.405,95.333,91.689,88.114,86.882,85.697
